Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
HW_BACT_20250713,blank,All Events,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_20250713,blank,R2,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_20250713,blank,R1,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_20250713,blank,R1,FSC - FSC-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_20250713,blank,R3,BL1 - BL1-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_20250713,blank,R1,BL1 - BL1-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_20250713,LD_H_20_1,All Events,BL1 - BL1-H,N/A,100362,50,2007.240,48208,N/A,51738.81,N/A
HW_BACT_20250713,LD_H_20_1,R2,BL1 - BL1-H,N/A,76239,50,1524.780,60964,N/A,46664.77,N/A
HW_BACT_20250713,LD_H_20_1,R1,BL1 - BL1-H,N/A,100362,50,2007.240,48208,N/A,51738.81,N/A
HW_BACT_20250713,LD_H_20_1,R1,FSC - FSC-H,SSC - SSC-H,100362,50,2007.240,2052,1345,1069.05,1203.98
HW_BACT_20250713,LD_H_20_1,R3,BL1 - BL1-H,SSC - SSC-H,58023,50,1160.460,78823,1394,44050.33,1064.71
HW_BACT_20250713,LD_H_20_1,R1,BL1 - BL1-H,SSC - SSC-H,100362,50,2007.240,48208,1345,51738.81,1203.98
HW_BACT_20250713,LD_H_20_2,All Events,BL1 - BL1-H,N/A,131426,50,2628.520,35405,N/A,38192.43,N/A
HW_BACT_20250713,LD_H_20_2,R2,BL1 - BL1-H,N/A,99754,50,1995.080,45311,N/A,36524.89,N/A
HW_BACT_20250713,LD_H_20_2,R1,BL1 - BL1-H,N/A,131426,50,2628.520,35405,N/A,38192.43,N/A
HW_BACT_20250713,LD_H_20_2,R1,FSC - FSC-H,SSC - SSC-H,131426,50,2628.520,1950,1091,948.44,938.45
HW_BACT_20250713,LD_H_20_2,R3,BL1 - BL1-H,SSC - SSC-H,76307,50,1526.140,56717,1059,34981.65,716.56
HW_BACT_20250713,LD_H_20_2,R1,BL1 - BL1-H,SSC - SSC-H,131426,50,2628.520,35405,1091,38192.43,938.45
HW_BACT_20250713,LD_H_20_3,All Events,BL1 - BL1-H,N/A,90361,50,1807.220,54454,N/A,43431.57,N/A
HW_BACT_20250713,LD_H_20_3,R2,BL1 - BL1-H,N/A,74989,50,1499.780,64649,N/A,38995.81,N/A
HW_BACT_20250713,LD_H_20_3,R1,BL1 - BL1-H,N/A,90361,50,1807.220,54454,N/A,43431.57,N/A
HW_BACT_20250713,LD_H_20_3,R1,FSC - FSC-H,SSC - SSC-H,90361,50,1807.220,2104,1481,1059.76,1271.15
HW_BACT_20250713,LD_H_20_3,R3,BL1 - BL1-H,SSC - SSC-H,62702,50,1254.040,75788,1236,33548.86,662.76
