Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
HW_BACT_6-07-25,blank,All Events,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-07-25,blank,R2,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-07-25,blank,R1,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-07-25,blank,R1,FSC - FSC-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-07-25,blank,R3,BL1 - BL1-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-07-25,blank,R1,BL1 - BL1-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-07-25,LD_C_20_1,All Events,BL1 - BL1-H,N/A,15646,50,312.920,23469,N/A,34187.28,N/A
HW_BACT_6-07-25,LD_C_20_1,R2,BL1 - BL1-H,N/A,11763,50,235.260,30073,N/A,35858.44,N/A
HW_BACT_6-07-25,LD_C_20_1,R1,BL1 - BL1-H,N/A,15646,50,312.920,23469,N/A,34187.28,N/A
HW_BACT_6-07-25,LD_C_20_1,R1,FSC - FSC-H,SSC - SSC-H,15646,50,312.920,2232,3459,1162.39,3133.91
HW_BACT_6-07-25,LD_C_20_1,R3,BL1 - BL1-H,SSC - SSC-H,2810,50,56.200,80814,1506,39444.04,1445.85
HW_BACT_6-07-25,LD_C_20_1,R1,BL1 - BL1-H,SSC - SSC-H,15646,50,312.920,23469,3459,34187.28,3133.91
HW_BACT_6-07-25,LD_C_20_2,All Events,BL1 - BL1-H,N/A,16678,50,333.560,28109,N/A,35566.12,N/A
HW_BACT_6-07-25,LD_C_20_2,R2,BL1 - BL1-H,N/A,13263,50,265.260,34498,N/A,37212.35,N/A
HW_BACT_6-07-25,LD_C_20_2,R1,BL1 - BL1-H,N/A,16678,50,333.560,28109,N/A,35566.12,N/A
HW_BACT_6-07-25,LD_C_20_2,R1,FSC - FSC-H,SSC - SSC-H,16678,50,333.560,2180,3106,1114.03,2907.53
HW_BACT_6-07-25,LD_C_20_2,R3,BL1 - BL1-H,SSC - SSC-H,4264,50,85.280,75018,1838,39251.39,1750.26
HW_BACT_6-07-25,LD_C_20_2,R1,BL1 - BL1-H,SSC - SSC-H,16678,50,333.560,28109,3106,35566.12,2907.53
HW_BACT_6-07-25,LD_C_20_3,All Events,BL1 - BL1-H,N/A,12869,50,257.380,30446,N/A,37765.73,N/A
HW_BACT_6-07-25,LD_C_20_3,R2,BL1 - BL1-H,N/A,10575,50,211.500,36199,N/A,38828.29,N/A
HW_BACT_6-07-25,LD_C_20_3,R1,BL1 - BL1-H,N/A,12869,50,257.380,30446,N/A,37765.73,N/A
HW_BACT_6-07-25,LD_C_20_3,R1,FSC - FSC-H,SSC - SSC-H,12869,50,257.380,2225,3533,1122.29,3101.22
HW_BACT_6-07-25,LD_C_20_3,R3,BL1 - BL1-H,SSC - SSC-H,3260,50,65.200,82679,1689,38086.15,1643.53
HW_BACT_6-07-25,LD_C_20_3,R1,BL1 - BL1-H,SSC - SSC-H,12869,50,257.380,30446,3533,37765.73,3101.22
HW_BACT_6-07-25,LD_C_25_1,All Events,BL1 - BL1-H,N/A,3617,50,72.340,60699,N/A,43234.48,N/A
HW_BACT_6-07-25,LD_C_25_1,R2,BL1 - BL1-H,N/A,3241,50,64.820,67371,N/A,40716.69,N/A
HW_BACT_6-07-25,LD_C_25_1,R1,BL1 - BL1-H,N/A,3617,50,72.340,60699,N/A,43234.48,N/A
HW_BACT_6-07-25,LD_C_25_1,R1,FSC - FSC-H,SSC - SSC-H,3617,50,72.340,2303,1625,1343.14,1859.84
HW_BACT_6-07-25,LD_C_25_1,R3,BL1 - BL1-H,SSC - SSC-H,2608,50,52.160,80647,1154,33491.25,708.38
HW_BACT_6-07-25,LD_C_25_1,R1,BL1 - BL1-H,SSC - SSC-H,3617,50,72.340,60699,1625,43234.48,1859.84
HW_BACT_6-07-25,LD_C_25_2,All Events,BL1 - BL1-H,N/A,3547,50,70.940,61885,N/A,44572.29,N/A
HW_BACT_6-07-25,LD_C_25_2,R2,BL1 - BL1-H,N/A,3222,50,64.440,67807,N/A,42474.90,N/A
HW_BACT_6-07-25,LD_C_25_2,R1,BL1 - BL1-H,N/A,3547,50,70.940,61885,N/A,44572.29,N/A
HW_BACT_6-07-25,LD_C_25_2,R1,FSC - FSC-H,SSC - SSC-H,3547,50,70.940,2416,1621,1454.25,1896.77
HW_BACT_6-07-25,LD_C_25_2,R3,BL1 - BL1-H,SSC - SSC-H,2608,50,52.160,80965,1100,35857.68,627.71
HW_BACT_6-07-25,LD_C_25_2,R1,BL1 - BL1-H,SSC - SSC-H,3547,50,70.940,61885,1621,44572.29,1896.77
HW_BACT_6-07-25,LD_C_25_3,All Events,BL1 - BL1-H,N/A,2851,50,57.020,71563,N/A,46512.13,N/A
HW_BACT_6-07-25,LD_C_25_3,R2,BL1 - BL1-H,N/A,2564,50,51.280,79216,N/A,42702.49,N/A
HW_BACT_6-07-25,LD_C_25_3,R1,BL1 - BL1-H,N/A,2851,50,57.020,71563,N/A,46512.13,N/A
HW_BACT_6-07-25,LD_C_25_3,R1,FSC - FSC-H,SSC - SSC-H,2851,50,57.020,2284,1378,1329.39,1759.13
HW_BACT_6-07-25,LD_C_25_3,R3,BL1 - BL1-H,SSC - SSC-H,2161,50,43.220,92180,977,32758.25,540.23
HW_BACT_6-07-25,LD_C_25_3,R1,BL1 - BL1-H,SSC - SSC-H,2851,50,57.020,71563,1378,46512.13,1759.13
HW_BACT_6-07-25,LD_C_30_1,All Events,BL1 - BL1-H,N/A,3520,50,70.400,47102,N/A,38412.93,N/A
HW_BACT_6-07-25,LD_C_30_1,R2,BL1 - BL1-H,N/A,2979,50,59.580,54913,N/A,35996.77,N/A
HW_BACT_6-07-25,LD_C_30_1,R1,BL1 - BL1-H,N/A,3520,50,70.400,47102,N/A,38412.93,N/A
HW_BACT_6-07-25,LD_C_30_1,R1,FSC - FSC-H,SSC - SSC-H,3520,50,70.400,2575,1748,1560.12,2045.82
HW_BACT_6-07-25,LD_C_30_1,R3,BL1 - BL1-H,SSC - SSC-H,2354,50,47.080,65949,1296,32481.86,773.32
HW_BACT_6-07-25,LD_C_30_1,R1,BL1 - BL1-H,SSC - SSC-H,3520,50,70.400,47102,1748,38412.93,2045.82
HW_BACT_6-07-25,LD_C_30_2,All Events,BL1 - BL1-H,N/A,3963,50,79.260,47032,N/A,39247.32,N/A
HW_BACT_6-07-25,LD_C_30_2,R2,BL1 - BL1-H,N/A,3430,50,68.600,53849,N/A,37868.64,N/A
HW_BACT_6-07-25,LD_C_30_2,R1,BL1 - BL1-H,N/A,3963,50,79.260,47032,N/A,39247.32,N/A
HW_BACT_6-07-25,LD_C_30_2,R1,FSC - FSC-H,SSC - SSC-H,3963,50,79.260,2644,1578,1695.54,1865.76
HW_BACT_6-07-25,LD_C_30_2,R3,BL1 - BL1-H,SSC - SSC-H,2705,50,54.100,64839,1201,34606.65,687.11
HW_BACT_6-07-25,LD_C_30_2,R1,BL1 - BL1-H,SSC - SSC-H,3963,50,79.260,47032,1578,39247.32,1865.76
HW_BACT_6-07-25,LD_C_30_3,All Events,BL1 - BL1-H,N/A,3685,50,73.700,44462,N/A,38985.16,N/A
HW_BACT_6-07-25,LD_C_30_3,R2,BL1 - BL1-H,N/A,3140,50,62.800,51411,N/A,36993.76,N/A
HW_BACT_6-07-25,LD_C_30_3,R1,BL1 - BL1-H,N/A,3685,50,73.700,44462,N/A,38985.16,N/A
HW_BACT_6-07-25,LD_C_30_3,R1,FSC - FSC-H,SSC - SSC-H,3685,50,73.700,2646,1608,1680.74,1898.95
HW_BACT_6-07-25,LD_C_30_3,R3,BL1 - BL1-H,SSC - SSC-H,2475,50,49.500,62037,1208,35636.10,725.99
HW_BACT_6-07-25,LD_C_30_3,R1,BL1 - BL1-H,SSC - SSC-H,3685,50,73.700,44462,1608,38985.16,1898.95
HW_BACT_6-07-25,LD_H_20_1,All Events,BL1 - BL1-H,N/A,6387,50,127.740,70809,N/A,53892.14,N/A
HW_BACT_6-07-25,LD_H_20_1,R2,BL1 - BL1-H,N/A,4954,50,99.080,90211,N/A,44897.23,N/A
HW_BACT_6-07-25,LD_H_20_1,R1,BL1 - BL1-H,N/A,6387,50,127.740,70809,N/A,53892.14,N/A
HW_BACT_6-07-25,LD_H_20_1,R1,FSC - FSC-H,SSC - SSC-H,6387,50,127.740,2273,2346,1302.07,2739.64
HW_BACT_6-07-25,LD_H_20_1,R3,BL1 - BL1-H,SSC - SSC-H,4242,50,84.840,103727,1245,33472.22,754.25
HW_BACT_6-07-25,LD_H_20_1,R1,BL1 - BL1-H,SSC - SSC-H,6387,50,127.740,70809,2346,53892.14,2739.64
HW_BACT_6-07-25,LD_H_20_3,All Events,BL1 - BL1-H,N/A,5644,50,112.880,73753,N/A,49611.91,N/A
HW_BACT_6-07-25,LD_H_20_3,R2,BL1 - BL1-H,N/A,4636,50,92.720,88882,N/A,40559.27,N/A
HW_BACT_6-07-25,LD_H_20_3,R1,BL1 - BL1-H,N/A,5644,50,112.880,73753,N/A,49611.91,N/A
HW_BACT_6-07-25,LD_H_20_3,R1,FSC - FSC-H,SSC - SSC-H,5644,50,112.880,2237,2071,1271.87,2552.70
HW_BACT_6-07-25,LD_H_20_3,R3,BL1 - BL1-H,SSC - SSC-H,4060,50,81.200,99844,1181,30609.86,707.75
HW_BACT_6-07-25,LD_H_20_3,R1,BL1 - BL1-H,SSC - SSC-H,5644,50,112.880,73753,2071,49611.91,2552.70
HW_BACT_6-07-25,LD_H_25_1,All Events,BL1 - BL1-H,N/A,9633,50,192.660,46505,N/A,48235.69,N/A
HW_BACT_6-07-25,LD_H_25_1,R2,BL1 - BL1-H,N/A,6272,50,125.440,69787,N/A,44940.99,N/A
HW_BACT_6-07-25,LD_H_25_1,R1,BL1 - BL1-H,N/A,9633,50,192.660,46505,N/A,48235.69,N/A
HW_BACT_6-07-25,LD_H_25_1,R1,FSC - FSC-H,SSC - SSC-H,9633,50,192.660,2275,1793,1291.83,2069.07
HW_BACT_6-07-25,LD_H_25_1,R3,BL1 - BL1-H,SSC - SSC-H,4882,50,97.640,87115,1236,34927.54,718.50
HW_BACT_6-07-25,LD_H_25_1,R1,BL1 - BL1-H,SSC - SSC-H,9633,50,192.660,46505,1793,48235.69,2069.07
HW_BACT_6-07-25,LD_H_25_2,All Events,BL1 - BL1-H,N/A,9201,50,184.020,50734,N/A,47098.19,N/A
HW_BACT_6-07-25,LD_H_25_2,R2,BL1 - BL1-H,N/A,6910,50,138.200,66502,N/A,44092.86,N/A
HW_BACT_6-07-25,LD_H_25_2,R1,BL1 - BL1-H,N/A,9201,50,184.020,50734,N/A,47098.19,N/A
HW_BACT_6-07-25,LD_H_25_2,R1,FSC - FSC-H,SSC - SSC-H,9201,50,184.020,2322,1865,1331.69,2102.40
HW_BACT_6-07-25,LD_H_25_2,R3,BL1 - BL1-H,SSC - SSC-H,5317,50,106.340,83555,1246,35381.79,708.06
HW_BACT_6-07-25,LD_H_25_2,R1,BL1 - BL1-H,SSC - SSC-H,9201,50,184.020,50734,1865,47098.19,2102.40
HW_BACT_6-07-25,LD_H_25_3,All Events,BL1 - BL1-H,N/A,10847,50,216.940,38466,N/A,44588.41,N/A
HW_BACT_6-07-25,LD_H_25_3,R2,BL1 - BL1-H,N/A,6634,50,132.680,60873,N/A,44026.43,N/A
HW_BACT_6-07-25,LD_H_25_3,R1,BL1 - BL1-H,N/A,10847,50,216.940,38466,N/A,44588.41,N/A
HW_BACT_6-07-25,LD_H_25_3,R1,FSC - FSC-H,SSC - SSC-H,10847,50,216.940,2233,1804,1336.54,2090.22
HW_BACT_6-07-25,LD_H_25_3,R3,BL1 - BL1-H,SSC - SSC-H,4758,50,95.160,81353,1262,34959.16,705.27
HW_BACT_6-07-25,LD_H_25_3,R1,BL1 - BL1-H,SSC - SSC-H,10847,50,216.940,38466,1804,44588.41,2090.22
HW_BACT_6-07-25,LD_H_30_1,All Events,BL1 - BL1-H,N/A,8741,50,174.820,66165,N/A,51061.49,N/A
HW_BACT_6-07-25,LD_H_30_1,R2,BL1 - BL1-H,N/A,7540,50,150.800,75699,N/A,47055.84,N/A
HW_BACT_6-07-25,LD_H_30_1,R1,BL1 - BL1-H,N/A,8741,50,174.820,66165,N/A,51061.49,N/A
HW_BACT_6-07-25,LD_H_30_1,R1,FSC - FSC-H,SSC - SSC-H,8741,50,174.820,2561,1925,1678.37,2249.69
HW_BACT_6-07-25,LD_H_30_1,R3,BL1 - BL1-H,SSC - SSC-H,6163,50,123.260,91090,1215,39711.90,767.03
HW_BACT_6-07-25,LD_H_30_1,R1,BL1 - BL1-H,SSC - SSC-H,8741,50,174.820,66165,1925,51061.49,2249.69
HW_BACT_6-07-25,LD_H_30_2,All Events,BL1 - BL1-H,N/A,9348,50,186.960,54636,N/A,42885.02,N/A
HW_BACT_6-07-25,LD_H_30_2,R2,BL1 - BL1-H,N/A,8030,50,160.600,63002,N/A,40244.78,N/A
HW_BACT_6-07-25,LD_H_30_2,R1,BL1 - BL1-H,N/A,9348,50,186.960,54636,N/A,42885.02,N/A
HW_BACT_6-07-25,LD_H_30_2,R1,FSC - FSC-H,SSC - SSC-H,9348,50,186.960,2461,1871,1641.22,2021.80
HW_BACT_6-07-25,LD_H_30_2,R3,BL1 - BL1-H,SSC - SSC-H,6381,50,127.620,76547,1408,33908.95,789.89
HW_BACT_6-07-25,LD_H_30_2,R1,BL1 - BL1-H,SSC - SSC-H,9348,50,186.960,54636,1871,42885.02,2021.80
HW_BACT_6-07-25,LD_H_30_3,All Events,BL1 - BL1-H,N/A,9608,50,192.160,58944,N/A,44325.26,N/A
HW_BACT_6-07-25,LD_H_30_3,R2,BL1 - BL1-H,N/A,8384,50,167.680,66906,N/A,40797.51,N/A
HW_BACT_6-07-25,LD_H_30_3,R1,BL1 - BL1-H,N/A,9608,50,192.160,58944,N/A,44325.26,N/A
HW_BACT_6-07-25,LD_H_30_3,R1,FSC - FSC-H,SSC - SSC-H,9608,50,192.160,2438,1756,1532.29,1901.80
HW_BACT_6-07-25,LD_H_30_3,R3,BL1 - BL1-H,SSC - SSC-H,6956,50,139.120,78524,1383,35053.71,802.70
HW_BACT_6-07-25,LD_H_30_3,R1,BL1 - BL1-H,SSC - SSC-H,9608,50,192.160,58944,1756,44325.26,1901.80
HW_BACT_6-07-25,LD_H_20_N_1,All Events,BL1 - BL1-H,N/A,12185,50,243.700,46041,N/A,47308.24,N/A
HW_BACT_6-07-25,LD_H_20_N_1,R2,BL1 - BL1-H,N/A,10266,50,205.320,53831,N/A,46989.59,N/A
HW_BACT_6-07-25,LD_H_20_N_1,R1,BL1 - BL1-H,N/A,12185,50,243.700,46041,N/A,47308.24,N/A
HW_BACT_6-07-25,LD_H_20_N_1,R1,FSC - FSC-H,SSC - SSC-H,12185,50,243.700,2933,3247,2095.25,2627.80
HW_BACT_6-07-25,LD_H_20_N_1,R3,BL1 - BL1-H,SSC - SSC-H,5264,50,105.280,94128,1202,31891.28,839.78
HW_BACT_6-07-25,LD_H_20_N_1,R1,BL1 - BL1-H,SSC - SSC-H,12185,50,243.700,46041,3247,47308.24,2627.80
HW_BACT_6-07-25,LD_H_20_N_2,All Events,BL1 - BL1-H,N/A,11879,50,237.580,44956,N/A,48001.65,N/A
HW_BACT_6-07-25,LD_H_20_N_2,R2,BL1 - BL1-H,N/A,8867,50,177.340,58989,N/A,46627.20,N/A
HW_BACT_6-07-25,LD_H_20_N_2,R1,BL1 - BL1-H,N/A,11879,50,237.580,44956,N/A,48001.65,N/A
HW_BACT_6-07-25,LD_H_20_N_2,R1,FSC - FSC-H,SSC - SSC-H,11879,50,237.580,2512,3011,1508.02,2910.35
HW_BACT_6-07-25,LD_H_20_N_2,R3,BL1 - BL1-H,SSC - SSC-H,5246,50,104.920,92226,1097,30710.82,711.12
HW_BACT_6-07-25,LD_H_20_N_2,R1,BL1 - BL1-H,SSC - SSC-H,11879,50,237.580,44956,3011,48001.65,2910.35
HW_BACT_6-07-25,LD_H_20_N_3,All Events,BL1 - BL1-H,N/A,8010,50,160.200,57649,N/A,48252.00,N/A
HW_BACT_6-07-25,LD_H_20_N_3,R2,BL1 - BL1-H,N/A,6499,50,129.980,70144,N/A,44511.33,N/A
HW_BACT_6-07-25,LD_H_20_N_3,R1,BL1 - BL1-H,N/A,8010,50,160.200,57649,N/A,48252.00,N/A
HW_BACT_6-07-25,LD_H_20_N_3,R1,FSC - FSC-H,SSC - SSC-H,8010,50,160.200,2395,2588,1326.60,2670.32
