Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
HW_BACT_6-22-25,blank,All Events,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-22-25,blank,R2,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-22-25,blank,R1,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-22-25,blank,R1,FSC - FSC-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-22-25,blank,R3,BL1 - BL1-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-22-25,blank,R1,BL1 - BL1-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-22-25,LD_H_20_1,All Events,BL1 - BL1-H,N/A,143013,50,2860.260,55805,N/A,37388.56,N/A
HW_BACT_6-22-25,LD_H_20_1,R2,BL1 - BL1-H,N/A,125934,50,2518.680,62577,N/A,33307.27,N/A
HW_BACT_6-22-25,LD_H_20_1,R1,BL1 - BL1-H,N/A,143013,50,2860.260,55805,N/A,37388.56,N/A
HW_BACT_6-22-25,LD_H_20_1,R1,FSC - FSC-H,SSC - SSC-H,143013,50,2860.260,2240,2047,1234.63,1469.03
HW_BACT_6-22-25,LD_H_20_1,R3,BL1 - BL1-H,SSC - SSC-H,106068,50,2121.360,72990,2050,26882.78,962.35
HW_BACT_6-22-25,LD_H_20_1,R1,BL1 - BL1-H,SSC - SSC-H,143013,50,2860.260,55805,2047,37388.56,1469.03
HW_BACT_6-22-25,LD_H_20_2,All Events,BL1 - BL1-H,N/A,114152,50,2283.040,68356,N/A,41032.89,N/A
HW_BACT_6-22-25,LD_H_20_2,R2,BL1 - BL1-H,N/A,103051,50,2061.020,74547,N/A,34614.02,N/A
HW_BACT_6-22-25,LD_H_20_2,R1,BL1 - BL1-H,N/A,114152,50,2283.040,68356,N/A,41032.89,N/A
HW_BACT_6-22-25,LD_H_20_2,R1,FSC - FSC-H,SSC - SSC-H,114152,50,2283.040,2278,2009,1327.05,1489.63
HW_BACT_6-22-25,LD_H_20_2,R3,BL1 - BL1-H,SSC - SSC-H,93258,50,1865.160,81965,1920,30515.30,945.38
HW_BACT_6-22-25,LD_H_20_2,R1,BL1 - BL1-H,SSC - SSC-H,114152,50,2283.040,68356,2009,41032.89,1489.63
HW_BACT_6-22-25,LD_H_20_3,All Events,BL1 - BL1-H,N/A,108124,50,2162.480,65328,N/A,36246.78,N/A
HW_BACT_6-22-25,LD_H_20_3,R2,BL1 - BL1-H,N/A,97756,50,1955.120,71426,N/A,30177.63,N/A
HW_BACT_6-22-25,LD_H_20_3,R1,BL1 - BL1-H,N/A,108124,50,2162.480,65328,N/A,36246.78,N/A
HW_BACT_6-22-25,LD_H_20_3,R1,FSC - FSC-H,SSC - SSC-H,108124,50,2162.480,2206,2074,1066.60,1469.55
HW_BACT_6-22-25,LD_H_20_3,R3,BL1 - BL1-H,SSC - SSC-H,88886,50,1777.720,77939,2015,25305.69,946.77
HW_BACT_6-22-25,LD_H_20_3,R1,BL1 - BL1-H,SSC - SSC-H,108124,50,2162.480,65328,2074,36246.78,1469.55
HW_BACT_6-22-25,LD_H_25_1,All Events,BL1 - BL1-H,N/A,93154,50,1863.080,53765,N/A,40477.53,N/A
HW_BACT_6-22-25,LD_H_25_1,R2,BL1 - BL1-H,N/A,77243,50,1544.860,63800,N/A,33976.76,N/A
