Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
HW_BACT_06242025,blank,All Events,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_06242025,blank,R2,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_06242025,blank,R1,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_06242025,blank,R1,FSC - FSC-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_06242025,blank,R3,BL1 - BL1-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_06242025,blank,R1,BL1 - BL1-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_06242025,LD_H_20_1,All Events,BL1 - BL1-H,N/A,156625,50,3132.500,70582,N/A,40404.97,N/A
HW_BACT_06242025,LD_H_20_1,R2,BL1 - BL1-H,N/A,142943,50,2858.860,76269,N/A,33333.51,N/A
HW_BACT_06242025,LD_H_20_1,R1,BL1 - BL1-H,N/A,156625,50,3132.500,70582,N/A,40404.97,N/A
HW_BACT_06242025,LD_H_20_1,R1,FSC - FSC-H,SSC - SSC-H,156625,50,3132.500,2273,1995,1310.43,1411.21
HW_BACT_06242025,LD_H_20_1,R3,BL1 - BL1-H,SSC - SSC-H,130905,50,2618.100,82904,1953,28780.71,944.57
HW_BACT_06242025,LD_H_20_1,R1,BL1 - BL1-H,SSC - SSC-H,156625,50,3132.500,70582,1995,40404.97,1411.21
HW_BACT_06242025,LD_H_20_2,All Events,BL1 - BL1-H,N/A,143953,50,2879.060,69906,N/A,46235.92,N/A
HW_BACT_06242025,LD_H_20_2,R2,BL1 - BL1-H,N/A,129202,50,2584.040,76260,N/A,37430.36,N/A
HW_BACT_06242025,LD_H_20_2,R1,BL1 - BL1-H,N/A,143953,50,2879.060,69906,N/A,46235.92,N/A
HW_BACT_06242025,LD_H_20_2,R1,FSC - FSC-H,SSC - SSC-H,143953,50,2879.060,2316,1980,1483.50,1530.07
HW_BACT_06242025,LD_H_20_2,R3,BL1 - BL1-H,SSC - SSC-H,115501,50,2310.020,84809,1892,32518.34,993.26
HW_BACT_06242025,LD_H_20_2,R1,BL1 - BL1-H,SSC - SSC-H,143953,50,2879.060,69906,1980,46235.92,1530.07
HW_BACT_06242025,LD_H_20_3,All Events,BL1 - BL1-H,N/A,150776,50,3015.520,63293,N/A,38597.25,N/A
HW_BACT_06242025,LD_H_20_3,R2,BL1 - BL1-H,N/A,136108,50,2722.160,69220,N/A,32771.45,N/A
HW_BACT_06242025,LD_H_20_3,R1,BL1 - BL1-H,N/A,150776,50,3015.520,63293,N/A,38597.25,N/A
HW_BACT_06242025,LD_H_20_3,R1,FSC - FSC-H,SSC - SSC-H,150776,50,3015.520,2214,2021,1218.68,1448.53
HW_BACT_06242025,LD_H_20_3,R3,BL1 - BL1-H,SSC - SSC-H,119565,50,2391.300,77859,2004,26712.09,967.29
HW_BACT_06242025,LD_H_20_3,R1,BL1 - BL1-H,SSC - SSC-H,150776,50,3015.520,63293,2021,38597.25,1448.53
HW_BACT_06242025,LD_H_25_1,All Events,BL1 - BL1-H,N/A,117904,50,2358.080,58300,N/A,44619.38,N/A
HW_BACT_06242025,LD_H_25_1,R2,BL1 - BL1-H,N/A,98148,50,1962.960,68663,N/A,36301.81,N/A
HW_BACT_06242025,LD_H_25_1,R1,BL1 - BL1-H,N/A,117904,50,2358.080,58300,N/A,44619.38,N/A
HW_BACT_06242025,LD_H_25_1,R1,FSC - FSC-H,SSC - SSC-H,117904,50,2358.080,2427,1982,1791.21,1452.96
HW_BACT_06242025,LD_H_25_1,R3,BL1 - BL1-H,SSC - SSC-H,85131,50,1702.620,78055,2040,30091.27,1028.82
HW_BACT_06242025,LD_H_25_1,R1,BL1 - BL1-H,SSC - SSC-H,117904,50,2358.080,58300,1982,44619.38,1452.96
HW_BACT_06242025,LD_H_25_2,All Events,BL1 - BL1-H,N/A,120328,50,2406.560,56712,N/A,43526.95,N/A
HW_BACT_06242025,LD_H_25_2,R2,BL1 - BL1-H,N/A,101766,50,2035.320,65650,N/A,36619.01,N/A
HW_BACT_06242025,LD_H_25_2,R1,BL1 - BL1-H,N/A,120328,50,2406.560,56712,N/A,43526.95,N/A
HW_BACT_06242025,LD_H_25_2,R1,FSC - FSC-H,SSC - SSC-H,120328,50,2406.560,2313,1752,1445.50,1395.42
HW_BACT_06242025,LD_H_25_2,R3,BL1 - BL1-H,SSC - SSC-H,87329,50,1746.580,74880,1947,30860.81,1032.12
HW_BACT_06242025,LD_H_25_2,R1,BL1 - BL1-H,SSC - SSC-H,120328,50,2406.560,56712,1752,43526.95,1395.42
HW_BACT_06242025,LD_H_25_3,All Events,BL1 - BL1-H,N/A,156148,50,3122.960,59333,N/A,42638.22,N/A
HW_BACT_06242025,LD_H_25_3,R2,BL1 - BL1-H,N/A,140963,50,2819.260,63799,N/A,33979.19,N/A
HW_BACT_06242025,LD_H_25_3,R1,BL1 - BL1-H,N/A,156148,50,3122.960,59333,N/A,42638.22,N/A
HW_BACT_06242025,LD_H_25_3,R1,FSC - FSC-H,SSC - SSC-H,156148,50,3122.960,2312,1807,1456.05,1411.44
HW_BACT_06242025,LD_H_25_3,R3,BL1 - BL1-H,SSC - SSC-H,126326,50,2526.520,70972,1879,33143.52,1108.66
HW_BACT_06242025,LD_H_25_3,R1,BL1 - BL1-H,SSC - SSC-H,156148,50,3122.960,59333,1807,42638.22,1411.44
HW_BACT_06242025,LD_H_30_1,All Events,BL1 - BL1-H,N/A,119073,50,2381.460,61876,N/A,59843.88,N/A
