Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
HW_BACT_6-13-25,blank,All Events,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-13-25,blank,R2,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-13-25,blank,R1,BL1 - BL1-H,N/A,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-13-25,blank,R1,FSC - FSC-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-13-25,blank,R3,BL1 - BL1-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-13-25,blank,R1,BL1 - BL1-H,SSC - SSC-H,0,50,0.000,N/A,N/A,N/A,N/A
HW_BACT_6-13-25,LD_H_20_1,All Events,BL1 - BL1-H,N/A,12270,50,245.400,94348,N/A,48319.22,N/A
HW_BACT_6-13-25,LD_H_20_1,R2,BL1 - BL1-H,N/A,11478,50,229.560,98690,N/A,41560.50,N/A
HW_BACT_6-13-25,LD_H_20_1,R1,BL1 - BL1-H,N/A,12270,50,245.400,94348,N/A,48319.22,N/A
HW_BACT_6-13-25,LD_H_20_1,R1,FSC - FSC-H,SSC - SSC-H,12270,50,245.400,2221,1805,1022.55,1473.54
HW_BACT_6-13-25,LD_H_20_1,R3,BL1 - BL1-H,SSC - SSC-H,10932,50,218.640,105023,1669,39538.73,946.64
HW_BACT_6-13-25,LD_H_20_1,R1,BL1 - BL1-H,SSC - SSC-H,12270,50,245.400,94348,1805,48319.22,1473.54
HW_BACT_6-13-25,LD_H_20_2,All Events,BL1 - BL1-H,N/A,14687,50,293.740,114000,N/A,69274.85,N/A
HW_BACT_6-13-25,LD_H_20_2,R2,BL1 - BL1-H,N/A,13865,50,277.300,111333,N/A,42686.91,N/A
HW_BACT_6-13-25,LD_H_20_2,R1,BL1 - BL1-H,N/A,14687,50,293.740,114000,N/A,69274.85,N/A
HW_BACT_6-13-25,LD_H_20_2,R1,FSC - FSC-H,SSC - SSC-H,14687,50,293.740,2304,1683,1250.95,1426.37
HW_BACT_6-13-25,LD_H_20_2,R3,BL1 - BL1-H,SSC - SSC-H,13426,50,268.520,117595,1591,43169.22,1000.30
HW_BACT_6-13-25,LD_H_20_2,R1,BL1 - BL1-H,SSC - SSC-H,14687,50,293.740,114000,1683,69274.85,1426.37
HW_BACT_6-13-25,LD_H_20_3,All Events,BL1 - BL1-H,N/A,10202,50,204.040,106556,N/A,76749.26,N/A
HW_BACT_6-13-25,LD_H_20_3,R2,BL1 - BL1-H,N/A,9481,50,189.620,106377,N/A,43929.95,N/A
HW_BACT_6-13-25,LD_H_20_3,R1,BL1 - BL1-H,N/A,10202,50,204.040,106556,N/A,76749.26,N/A
HW_BACT_6-13-25,LD_H_20_3,R1,FSC - FSC-H,SSC - SSC-H,10202,50,204.040,2220,1510,1148.99,1483.30
HW_BACT_6-13-25,LD_H_20_3,R3,BL1 - BL1-H,SSC - SSC-H,8883,50,177.660,113824,1325,38555.54,804.85
HW_BACT_6-13-25,LD_H_20_3,R1,BL1 - BL1-H,SSC - SSC-H,10202,50,204.040,106556,1510,76749.26,1483.30
HW_BACT_6-13-25,LD_H_25_1,All Events,BL1 - BL1-H,N/A,13220,50,264.400,91267,N/A,41991.13,N/A
HW_BACT_6-13-25,LD_H_25_1,R2,BL1 - BL1-H,N/A,12521,50,250.420,95840,N/A,37139.89,N/A
HW_BACT_6-13-25,LD_H_25_1,R1,BL1 - BL1-H,N/A,13220,50,264.400,91267,N/A,41991.13,N/A
HW_BACT_6-13-25,LD_H_25_1,R1,FSC - FSC-H,SSC - SSC-H,13220,50,264.400,2295,1319,1275.32,1078.56
HW_BACT_6-13-25,LD_H_25_1,R3,BL1 - BL1-H,SSC - SSC-H,11839,50,236.780,101201,1265,31844.25,732.70
HW_BACT_6-13-25,LD_H_25_1,R1,BL1 - BL1-H,SSC - SSC-H,13220,50,264.400,91267,1319,41991.13,1078.56
HW_BACT_6-13-25,LD_H_25_2,All Events,BL1 - BL1-H,N/A,14337,50,286.740,91938,N/A,70554.59,N/A
HW_BACT_6-13-25,LD_H_25_2,R2,BL1 - BL1-H,N/A,13354,50,267.080,91733,N/A,37614.11,N/A
HW_BACT_6-13-25,LD_H_25_2,R1,BL1 - BL1-H,N/A,14337,50,286.740,91938,N/A,70554.59,N/A
HW_BACT_6-13-25,LD_H_25_2,R1,FSC - FSC-H,SSC - SSC-H,14337,50,286.740,2376,1406,1394.34,1231.39
HW_BACT_6-13-25,LD_H_25_2,R3,BL1 - BL1-H,SSC - SSC-H,12413,50,248.260,97316,1318,31953.24,745.18
HW_BACT_6-13-25,LD_H_25_2,R1,BL1 - BL1-H,SSC - SSC-H,14337,50,286.740,91938,1406,70554.59,1231.39
HW_BACT_6-13-25,LD_H_25_3,All Events,BL1 - BL1-H,N/A,12842,50,256.840,99340,N/A,68973.36,N/A
HW_BACT_6-13-25,LD_H_25_3,R2,BL1 - BL1-H,N/A,11909,50,238.180,98978,N/A,36991.61,N/A
HW_BACT_6-13-25,LD_H_25_3,R1,BL1 - BL1-H,N/A,12842,50,256.840,99340,N/A,68973.36,N/A
HW_BACT_6-13-25,LD_H_25_3,R1,FSC - FSC-H,SSC - SSC-H,12842,50,256.840,2440,1271,1720.43,1224.68
HW_BACT_6-13-25,LD_H_25_3,R3,BL1 - BL1-H,SSC - SSC-H,11068,50,221.360,104554,1178,31304.21,702.19
HW_BACT_6-13-25,LD_H_25_3,R1,BL1 - BL1-H,SSC - SSC-H,12842,50,256.840,99340,1271,68973.36,1224.68
HW_BACT_6-13-25,LD_H_30_1,All Events,BL1 - BL1-H,N/A,21592,50,431.840,97751,N/A,39640.27,N/A
HW_BACT_6-13-25,LD_H_30_1,R2,BL1 - BL1-H,N/A,20635,50,412.700,101577,N/A,34024.13,N/A
HW_BACT_6-13-25,LD_H_30_1,R1,BL1 - BL1-H,N/A,21592,50,431.840,97751,N/A,39640.27,N/A
HW_BACT_6-13-25,LD_H_30_1,R1,FSC - FSC-H,SSC - SSC-H,21592,50,431.840,2413,1267,1446.88,959.02
HW_BACT_6-13-25,LD_H_30_1,R3,BL1 - BL1-H,SSC - SSC-H,19566,50,391.320,107146,1230,27752.53,694.35
HW_BACT_6-13-25,LD_H_30_1,R1,BL1 - BL1-H,SSC - SSC-H,21592,50,431.840,97751,1267,39640.27,959.02
HW_BACT_6-13-25,LD_H_30_2,All Events,BL1 - BL1-H,N/A,20727,50,414.540,70226,N/A,39893.16,N/A
