Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
HW_PYRO_07-21-25,Blank,All Events,FSC - FSC-H,SSC - SSC-H,16,159,0.101,91154,75076,84278.31,188204.42
HW_PYRO_07-21-25,Blank,R1,FSC - FSC-H,SSC - SSC-H,1,159,0.006,279476,772853,N/A,N/A
HW_PYRO_07-21-25,Blank,R2,BL3 - BL3-H,SSC - SSC-H,0,159,0,N/A,N/A,N/A,N/A
HW_PYRO_07-21-25,Blank,R1,BL3 - BL3-H,SSC - SSC-H,1,159,0.006,54,772853,N/A,N/A
HW_PYRO_07-21-25,Blank,R1,FSC - FSC-H,SSC - SSC-H,1,159,0.006,279476,772853,N/A,N/A
HW_PYRO_07-21-25,Blank,R1,BL3 - BL3-H,N/A,1,159,0.006,54,N/A,N/A,N/A
HW_PYRO_07-21-25,Blank,R2,BL3 - BL3-H,SSC - SSC-H,0,159,0,N/A,N/A,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_1,All Events,FSC - FSC-H,SSC - SSC-H,100,159,0.629,65422,19658,89870.32,74678
HW_PYRO_07-21-25,LD_C_20_1,R1,FSC - FSC-H,SSC - SSC-H,1,159,0.006,351386,738100,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_1,R2,BL3 - BL3-H,SSC - SSC-H,1,159,0.006,43673,738100,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_1,R1,BL3 - BL3-H,SSC - SSC-H,1,159,0.006,43673,738100,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_1,R2,CircularityPercent  - CircularityPercent ,AreaSquareMicrons - AreaSquareMicrons,1,159,0.006,46,1324,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_1,R2,MajorDiameterMicrons  - MajorDiameterMicrons ,EccentricityPercent  - EccentricityPercent ,1,159,0.006,50,73,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_1,R2,PerimeterMicrons - PerimeterMicrons,MinorDiameterMicrons  - MinorDiameterMicrons ,1,159,0.006,191,34,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_1,R2,CVIntensity - CVIntensity,AverageIntensity - AverageIntensity,1,159,0.006,43,398,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_1,R2,StandardDeviationIntensity - StandardDeviationIntensity,SkewnessIntensity - SkewnessIntensity,1,159,0.006,172,1,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_1,R1,FSC - FSC-H,SSC - SSC-H,1,159,0.006,351386,738100,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_1,R1,BL3 - BL3-H,N/A,1,159,0.006,43673,N/A,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_1,R2,BL3 - BL3-H,SSC - SSC-H,1,159,0.006,43673,738100,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_2,All Events,FSC - FSC-H,SSC - SSC-H,1811,159,11.39,161382,88957,142207.32,137466.92
HW_PYRO_07-21-25,LD_C_20_2,R1,FSC - FSC-H,SSC - SSC-H,81,159,0.509,402472,554327,140045.39,113164.31
HW_PYRO_07-21-25,LD_C_20_2,R2,BL3 - BL3-H,SSC - SSC-H,43,159,0.27,42496,579276,6613.69,109514.37
HW_PYRO_07-21-25,LD_C_20_2,R1,BL3 - BL3-H,SSC - SSC-H,81,159,0.509,22580,554327,21850.14,113164.31
HW_PYRO_07-21-25,LD_C_20_2,R2,CircularityPercent ,AreaSquareMicrons,43,159,0.27,36,1108,20.17,452.86
HW_PYRO_07-21-25,LD_C_20_2,R2,MajorDiameterMicrons ,EccentricityPercent ,43,159,0.27,44,66,10.44,18.87
HW_PYRO_07-21-25,LD_C_20_2,R2,PerimeterMicrons,MinorDiameterMicrons ,43,159,0.27,203,31,57.35,9.84
HW_PYRO_07-21-25,LD_C_20_2,R2,CVIntensity,AverageIntensity,43,159,0.27,48,336,16.56,76.95
HW_PYRO_07-21-25,LD_C_20_2,R2,StandardDeviationIntensity,SkewnessIntensity,43,159,0.27,159,1,35.62,0.42
HW_PYRO_07-21-25,LD_C_20_2,R1,FSC - FSC-H,SSC - SSC-H,78,159,0.491,406031,559707,139481.94,111859.65
HW_PYRO_07-21-25,LD_C_20_2,R1,BL3 - BL3-H,N/A,78,159,0.491,23447,N/A,21805.22,N/A
HW_PYRO_07-21-25,LD_C_20_2,R2,BL3 - BL3-H,SSC - SSC-H,82,159,0.516,41064,456106,8939.85,156026.51
HW_PYRO_07-21-25,LD_C_20_3,All Events,FSC - FSC-H,SSC - SSC-H,3549,160,22.181,106264,35636,109135.62,87530.01
HW_PYRO_07-21-25,LD_C_20_3,R1,FSC - FSC-H,SSC - SSC-H,38,160,0.237,336987,607337,122170.77,144513.01
HW_PYRO_07-21-25,LD_C_20_3,R2,BL3 - BL3-H,SSC - SSC-H,17,160,0.106,40791,615199,7994.01,94600.04
HW_PYRO_07-21-25,LD_C_20_3,R1,BL3 - BL3-H,SSC - SSC-H,38,160,0.237,18276,607337,21191.81,144513.01
HW_PYRO_07-21-25,LD_C_20_3,R2,CircularityPercent ,AreaSquareMicrons,17,160,0.106,26,923,17.82,507.47
HW_PYRO_07-21-25,LD_C_20_3,R2,MajorDiameterMicrons ,EccentricityPercent ,17,160,0.106,38,63,16.11,28.27
HW_PYRO_07-21-25,LD_C_20_3,R2,PerimeterMicrons,MinorDiameterMicrons ,17,160,0.106,191,26,88.97,13.07
HW_PYRO_07-21-25,LD_C_20_3,R2,CVIntensity,AverageIntensity,17,160,0.106,42,311,17.91,125.33
HW_PYRO_07-21-25,LD_C_20_3,R2,StandardDeviationIntensity,SkewnessIntensity,17,160,0.106,148,1,61.29,0.55
HW_PYRO_07-21-25,LD_C_20_3,R1,FSC - FSC-H,SSC - SSC-H,35,160,0.219,325454,623883,110100.97,138400.88
HW_PYRO_07-21-25,LD_C_20_3,R1,BL3 - BL3-H,N/A,35,160,0.219,19838,N/A,21375,N/A
HW_PYRO_07-21-25,LD_C_20_3,R2,BL3 - BL3-H,SSC - SSC-H,32,160,0.2,35765,458940,11173.66,188530.86
HW_PYRO_07-21-25,LD_C_20_N_1,All Events,FSC - FSC-H,SSC - SSC-H,537,160,3.356,118447,44481,129123.07,118529.94
HW_PYRO_07-21-25,LD_C_20_N_1,R1,FSC - FSC-H,SSC - SSC-H,9,160,0.056,241696,706167,97981.25,225920.23
HW_PYRO_07-21-25,LD_C_20_N_1,R2,BL3 - BL3-H,SSC - SSC-H,0,160,0,N/A,N/A,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_N_1,R1,BL3 - BL3-H,SSC - SSC-H,9,160,0.056,52,706167,10.56,225920.23
HW_PYRO_07-21-25,LD_C_20_N_1,R1,FSC - FSC-H,SSC - SSC-H,7,160,0.044,259726,700874,96935.46,189980.24
HW_PYRO_07-21-25,LD_C_20_N_1,R1,BL3 - BL3-H,N/A,7,160,0.044,53,N/A,12.1,N/A
HW_PYRO_07-21-25,LD_C_20_N_1,R2,BL3 - BL3-H,SSC - SSC-H,0,160,0,N/A,N/A,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_N_2,All Events,FSC - FSC-H,SSC - SSC-H,531,159,3.34,106272,41059,127748.12,109935.07
HW_PYRO_07-21-25,LD_C_20_N_2,R1,FSC - FSC-H,SSC - SSC-H,8,159,0.05,233231,643096,49459.57,156980.89
HW_PYRO_07-21-25,LD_C_20_N_2,R2,BL3 - BL3-H,SSC - SSC-H,0,159,0,N/A,N/A,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_N_2,R1,BL3 - BL3-H,SSC - SSC-H,8,159,0.05,39,643096,11.05,156980.89
HW_PYRO_07-21-25,LD_C_20_N_2,R1,FSC - FSC-H,SSC - SSC-H,7,159,0.044,236964,675825,52190.84,136941.26
HW_PYRO_07-21-25,LD_C_20_N_2,R1,BL3 - BL3-H,N/A,7,159,0.044,39,N/A,11.94,N/A
HW_PYRO_07-21-25,LD_C_20_N_2,R2,BL3 - BL3-H,SSC - SSC-H,0,159,0,N/A,N/A,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_N_3,All Events,FSC - FSC-H,SSC - SSC-H,658,160,4.112,94558,23642,107264.1,73689.96
HW_PYRO_07-21-25,LD_C_20_N_3,R1,FSC - FSC-H,SSC - SSC-H,7,160,0.044,180827,549578,116958.44,127274.56
HW_PYRO_07-21-25,LD_C_20_N_3,R2,BL3 - BL3-H,SSC - SSC-H,1,160,0.006,31137,784167,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_N_3,R1,BL3 - BL3-H,SSC - SSC-H,7,160,0.044,4493,549578,11749.09,127274.56
HW_PYRO_07-21-25,LD_C_20_N_3,R2,CircularityPercent ,AreaSquareMicrons,1,160,0.006,0,0,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_N_3,R2,MajorDiameterMicrons ,EccentricityPercent ,1,160,0.006,0,0,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_N_3,R2,PerimeterMicrons,MinorDiameterMicrons ,1,160,0.006,0,0,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_N_3,R2,CVIntensity,AverageIntensity,1,160,0.006,0,0,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_N_3,R2,StandardDeviationIntensity,SkewnessIntensity,1,160,0.006,0,0,N/A,N/A
HW_PYRO_07-21-25,LD_C_20_N_3,R1,FSC - FSC-H,SSC - SSC-H,6,160,0.037,196284,573370,120034.3,121176.23
HW_PYRO_07-21-25,LD_C_20_N_3,R1,BL3 - BL3-H,N/A,6,160,0.037,5233,N/A,12690.57,N/A
HW_PYRO_07-21-25,LD_C_20_N_3,R2,BL3 - BL3-H,SSC - SSC-H,2,160,0.013,28339,537956,3957.68,348195.64
HW_PYRO_07-21-25,LD_C_25_1,All Events,FSC - FSC-H,SSC - SSC-H,961,159,6.044,115210,32948,126817.24,98058.16
HW_PYRO_07-21-25,LD_C_25_1,R1,FSC - FSC-H,SSC - SSC-H,14,159,0.088,203841,612225,118400.56,195321.68
HW_PYRO_07-21-25,LD_C_25_1,R2,BL3 - BL3-H,SSC - SSC-H,6,159,0.038,42865,575456,10522.78,132840.5
HW_PYRO_07-21-25,LD_C_25_1,R1,BL3 - BL3-H,SSC - SSC-H,14,159,0.088,18390,612225,22943.56,195321.68
HW_PYRO_07-21-25,LD_C_25_1,R2,CircularityPercent ,AreaSquareMicrons,6,159,0.038,19,503,12.56,429.45
HW_PYRO_07-21-25,LD_C_25_1,R2,MajorDiameterMicrons ,EccentricityPercent ,6,159,0.038,28,65,15.99,34.68
HW_PYRO_07-21-25,LD_C_25_1,R2,PerimeterMicrons,MinorDiameterMicrons ,6,159,0.038,156,17,115.69,12.92
HW_PYRO_07-21-25,LD_C_25_1,R2,CVIntensity,AverageIntensity,6,159,0.038,34,274,17.49,143.42
HW_PYRO_07-21-25,LD_C_25_1,R2,StandardDeviationIntensity,SkewnessIntensity,6,159,0.038,113,1,65.55,0.78
HW_PYRO_07-21-25,LD_C_25_1,R1,FSC - FSC-H,SSC - SSC-H,12,159,0.075,200476,592617,127051.11,157324.67
HW_PYRO_07-21-25,LD_C_25_1,R1,BL3 - BL3-H,N/A,12,159,0.075,21448,N/A,23466.89,N/A
HW_PYRO_07-21-25,LD_C_25_1,R2,BL3 - BL3-H,SSC - SSC-H,7,159,0.044,39327,522324,13413.02,185651.3
HW_PYRO_07-21-25,LD_C_25_2,All Events,FSC - FSC-H,SSC - SSC-H,1487,159,9.352,102175,38894,106083.04,109540.17
HW_PYRO_07-21-25,LD_C_25_2,R1,FSC - FSC-H,SSC - SSC-H,43,159,0.27,300431,590107,92779.76,101500.24
HW_PYRO_07-21-25,LD_C_25_2,R2,BL3 - BL3-H,SSC - SSC-H,33,159,0.208,43622,620598,6898.57,91978.25
HW_PYRO_07-21-25,LD_C_25_2,R1,BL3 - BL3-H,SSC - SSC-H,43,159,0.27,33486,590107,19579.46,101500.24
HW_PYRO_07-21-25,LD_C_25_2,R2,CircularityPercent ,AreaSquareMicrons,33,159,0.208,27,818,18.69,482.55
HW_PYRO_07-21-25,LD_C_25_2,R2,MajorDiameterMicrons ,EccentricityPercent ,33,159,0.208,36,62,16.18,29.17
HW_PYRO_07-21-25,LD_C_25_2,R2,PerimeterMicrons,MinorDiameterMicrons ,33,159,0.208,172,24,81.3,12.54
HW_PYRO_07-21-25,LD_C_25_2,R2,CVIntensity,AverageIntensity,33,159,0.208,42,285,18.85,124.83
HW_PYRO_07-21-25,LD_C_25_2,R2,StandardDeviationIntensity,SkewnessIntensity,33,159,0.208,142,1,63.46,0.55
HW_PYRO_07-21-25,LD_C_25_2,R1,FSC - FSC-H,SSC - SSC-H,42,159,0.264,300445,594218,93904.36,99042.45
HW_PYRO_07-21-25,LD_C_25_2,R1,BL3 - BL3-H,N/A,42,159,0.264,34283,N/A,19098.7,N/A
HW_PYRO_07-21-25,LD_C_25_2,R2,BL3 - BL3-H,SSC - SSC-H,36,159,0.226,42334,595259,8014.37,123634.11
HW_PYRO_07-21-25,LD_C_25_3,All Events,FSC - FSC-H,SSC - SSC-H,1092,159,6.868,106944,26048,117778.38,81210.99
HW_PYRO_07-21-25,LD_C_25_3,R1,FSC - FSC-H,SSC - SSC-H,14,159,0.088,351333,608672,191219.06,128403.24
HW_PYRO_07-21-25,LD_C_25_3,R2,BL3 - BL3-H,SSC - SSC-H,4,159,0.025,43972,648539,7166.77,93139.45
HW_PYRO_07-21-25,LD_C_25_3,R1,BL3 - BL3-H,SSC - SSC-H,14,159,0.088,12846,608672,20737.41,128403.24
HW_PYRO_07-21-25,LD_C_25_3,R2,CircularityPercent ,AreaSquareMicrons,4,159,0.025,26,1008,9.26,393.83
HW_PYRO_07-21-25,LD_C_25_3,R2,MajorDiameterMicrons ,EccentricityPercent ,4,159,0.025,42,71,7.33,12.51
HW_PYRO_07-21-25,LD_C_25_3,R2,PerimeterMicrons,MinorDiameterMicrons ,4,159,0.025,218,29,27.3,8.6
HW_PYRO_07-21-25,LD_C_25_3,R2,CVIntensity,AverageIntensity,4,159,0.025,43,351,5.54,35.5
HW_PYRO_07-21-25,LD_C_25_3,R2,StandardDeviationIntensity,SkewnessIntensity,4,159,0.025,150,1,26.71,0.39
HW_PYRO_07-21-25,LD_C_25_3,R1,FSC - FSC-H,SSC - SSC-H,12,159,0.075,372880,641223,189455.63,106718
HW_PYRO_07-21-25,LD_C_25_3,R1,BL3 - BL3-H,N/A,12,159,0.075,14981,N/A,21758.76,N/A
HW_PYRO_07-21-25,LD_C_25_3,R2,BL3 - BL3-H,SSC - SSC-H,5,159,0.031,38417,557769,13886.48,218408.6
HW_PYRO_07-21-25,LD_C_25_N_1,All Events,FSC - FSC-H,SSC - SSC-H,5053,160,31.581,84126,28199,82902.84,74753.77
HW_PYRO_07-21-25,LD_C_25_N_1,R1,FSC - FSC-H,SSC - SSC-H,57,160,0.356,302780,532058,107764.1,105450.21
HW_PYRO_07-21-25,LD_C_25_N_1,R2,BL3 - BL3-H,SSC - SSC-H,42,160,0.263,42501,517079,8908.16,83620.83
HW_PYRO_07-21-25,LD_C_25_N_1,R1,BL3 - BL3-H,SSC - SSC-H,57,160,0.356,31446,532058,20169.85,105450.21
HW_PYRO_07-21-25,LD_C_25_N_1,R2,CircularityPercent ,AreaSquareMicrons,42,160,0.263,28,695,20.4,497.53
HW_PYRO_07-21-25,LD_C_25_N_1,R2,MajorDiameterMicrons ,EccentricityPercent ,42,160,0.263,34,64,15.9,30.69
HW_PYRO_07-21-25,LD_C_25_N_1,R2,PerimeterMicrons,MinorDiameterMicrons ,42,160,0.263,160,21,90.63,13.13
HW_PYRO_07-21-25,LD_C_25_N_1,R2,CVIntensity,AverageIntensity,42,160,0.263,48,274,26.59,128.99
HW_PYRO_07-21-25,LD_C_25_N_1,R2,StandardDeviationIntensity,SkewnessIntensity,42,160,0.263,144,1,64.72,0.72
HW_PYRO_07-21-25,LD_C_25_N_1,R1,FSC - FSC-H,SSC - SSC-H,51,160,0.319,295665,545829,106816.8,103029.24
HW_PYRO_07-21-25,LD_C_25_N_1,R1,BL3 - BL3-H,N/A,51,160,0.319,32851,N/A,20195.66,N/A
HW_PYRO_07-21-25,LD_C_25_N_1,R2,BL3 - BL3-H,SSC - SSC-H,61,160,0.381,37503,450274,11968.53,128710.97
HW_PYRO_07-21-25,LD_C_25_N_2,All Events,FSC - FSC-H,SSC - SSC-H,4417,159,27.78,105759,40396,97117.13,88052.8
HW_PYRO_07-21-25,LD_C_25_N_2,R1,FSC - FSC-H,SSC - SSC-H,56,159,0.352,331539,569493,143147.44,115309.84
HW_PYRO_07-21-25,LD_C_25_N_2,R2,BL3 - BL3-H,SSC - SSC-H,31,159,0.195,45880,583628,7197.25,109316.5
HW_PYRO_07-21-25,LD_C_25_N_2,R1,BL3 - BL3-H,SSC - SSC-H,56,159,0.352,25425,569493,23590.25,115309.84
HW_PYRO_07-21-25,LD_C_25_N_2,R2,CircularityPercent ,AreaSquareMicrons,31,159,0.195,31,970,17.43,309.49
HW_PYRO_07-21-25,LD_C_25_N_2,R2,MajorDiameterMicrons ,EccentricityPercent ,31,159,0.195,43,70,5.42,16.04
HW_PYRO_07-21-25,LD_C_25_N_2,R2,PerimeterMicrons,MinorDiameterMicrons ,31,159,0.195,208,29,36.13,6.86
HW_PYRO_07-21-25,LD_C_25_N_2,R2,CVIntensity,AverageIntensity,31,159,0.195,48,339,6.55,29.59
HW_PYRO_07-21-25,LD_C_25_N_2,R2,StandardDeviationIntensity,SkewnessIntensity,31,159,0.195,163,1,25.25,0.4
HW_PYRO_07-21-25,LD_C_25_N_2,R1,FSC - FSC-H,SSC - SSC-H,53,159,0.333,332872,578363,146244.84,112096.62
HW_PYRO_07-21-25,LD_C_25_N_2,R1,BL3 - BL3-H,N/A,53,159,0.333,25892,N/A,23464.31,N/A
HW_PYRO_07-21-25,LD_C_25_N_2,R2,BL3 - BL3-H,SSC - SSC-H,45,159,0.283,39960,493125,11767.59,166562.42
HW_PYRO_07-21-25,LD_C_25_N_3,All Events,FSC - FSC-H,SSC - SSC-H,420,159,2.642,155127,90563,142773.19,141541.58
HW_PYRO_07-21-25,LD_C_25_N_3,R1,FSC - FSC-H,SSC - SSC-H,17,159,0.107,358819,568849,63644.11,139930.42
HW_PYRO_07-21-25,LD_C_25_N_3,R2,BL3 - BL3-H,SSC - SSC-H,10,159,0.063,43049,610975,8342.25,164407.21
HW_PYRO_07-21-25,LD_C_25_N_3,R1,BL3 - BL3-H,SSC - SSC-H,17,159,0.107,25343,568849,22693.36,139930.42
HW_PYRO_07-21-25,LD_C_25_N_3,R2,CircularityPercent ,AreaSquareMicrons,10,159,0.063,30,817,22.76,423.99
HW_PYRO_07-21-25,LD_C_25_N_3,R2,MajorDiameterMicrons ,EccentricityPercent ,10,159,0.063,38,66,14.01,29.11
HW_PYRO_07-21-25,LD_C_25_N_3,R2,PerimeterMicrons,MinorDiameterMicrons ,10,159,0.063,178,24,77.05,11.66
HW_PYRO_07-21-25,LD_C_25_N_3,R2,CVIntensity,AverageIntensity,10,159,0.063,40,314,16.21,117.75
HW_PYRO_07-21-25,LD_C_25_N_3,R2,StandardDeviationIntensity,SkewnessIntensity,10,159,0.063,138,1,51.8,0.49
HW_PYRO_07-21-25,LD_C_25_N_3,R1,FSC - FSC-H,SSC - SSC-H,16,159,0.101,361224,578504,64928.52,138547.91
HW_PYRO_07-21-25,LD_C_25_N_3,R1,BL3 - BL3-H,N/A,16,159,0.101,26923,N/A,22451.03,N/A
