Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
HW_PYRO_07-11-25,Blank,All Events,FSC - FSC-H,SSC - SSC-H,4,160,0.025,64862,48721,71960.01,75165.01
HW_PYRO_07-11-25,Blank,R1,FSC - FSC-H,SSC - SSC-H,0,160,0.000,N/A,N/A,N/A,N/A
HW_PYRO_07-11-25,Blank,R2,BL3 - BL3-H,SSC - SSC-H,0,160,0.000,N/A,N/A,N/A,N/A
HW_PYRO_07-11-25,Blank,R1,BL3 - BL3-H,SSC - SSC-H,0,160,0.000,N/A,N/A,N/A,N/A
HW_PYRO_07-11-25,LD_H_20_1,All Events,FSC - FSC-H,SSC - SSC-H,335,159,2.107,98540,93435,116904.44,176292.17
HW_PYRO_07-11-25,LD_H_20_1,R1,FSC - FSC-H,SSC - SSC-H,26,159,0.164,294640,623877,141522.83,131360.34
HW_PYRO_07-11-25,LD_H_20_1,R2,BL3 - BL3-H,SSC - SSC-H,18,159,0.113,37646,660113,11897.03,135689.54
HW_PYRO_07-11-25,LD_H_20_1,R1,BL3 - BL3-H,SSC - SSC-H,26,159,0.164,26077,623877,20235.06,131360.34
HW_PYRO_07-11-25,LD_H_20_1,R2,AreaSquareMicrons,CircularityPercent ,18,159,0.113,593,24,955.94,19.39
HW_PYRO_07-11-25,LD_H_20_1,R2,EccentricityPercent ,MajorDiameterMicrons ,18,159,0.113,61,28,40.77,23.26
HW_PYRO_07-11-25,LD_H_20_1,R2,MinorDiameterMicrons ,PerimeterMicrons,18,159,0.113,15,117,17.04,117.25
HW_PYRO_07-11-25,LD_H_20_1,R2,AverageIntensity,CVIntensity,18,159,0.113,246,33,174.76,29.00
HW_PYRO_07-11-25,LD_H_20_1,R2,SkewnessIntensity,StandardDeviationIntensity,18,159,0.113,1,101,0.67,75.76
HW_PYRO_07-11-25,LD_H_20_2,All Events,FSC - FSC-H,SSC - SSC-H,373,159,2.346,134663,82362,137116.86,131918.94
HW_PYRO_07-11-25,LD_H_20_2,R1,FSC - FSC-H,SSC - SSC-H,11,159,0.069,304307,610647,153548.61,151729.85
HW_PYRO_07-11-25,LD_H_20_2,R2,BL3 - BL3-H,SSC - SSC-H,7,159,0.044,34162,667872,7381.88,149409.37
HW_PYRO_07-11-25,LD_H_20_2,R1,BL3 - BL3-H,SSC - SSC-H,11,159,0.069,21754,610647,18140.66,151729.85
HW_PYRO_07-11-25,LD_H_20_2,R2,AreaSquareMicrons,CircularityPercent ,7,159,0.044,800,22,426.61,13.22
HW_PYRO_07-11-25,LD_H_20_2,R2,EccentricityPercent ,MajorDiameterMicrons ,7,159,0.044,65,38,31.30,17.34
HW_PYRO_07-11-25,LD_H_20_2,R2,MinorDiameterMicrons ,PerimeterMicrons,7,159,0.044,23,192,12.07,108.75
HW_PYRO_07-11-25,LD_H_20_2,R2,AverageIntensity,CVIntensity,7,159,0.044,284,41,131.88,18.62
HW_PYRO_07-11-25,LD_H_20_2,R2,SkewnessIntensity,StandardDeviationIntensity,7,159,0.044,1,134,0.60,61.06
HW_PYRO_07-11-25,LD_H_20_3,All Events,FSC - FSC-H,SSC - SSC-H,293,160,1.831,102109,71495,131172.84,164444.26
HW_PYRO_07-11-25,LD_H_20_3,R1,FSC - FSC-H,SSC - SSC-H,16,160,0.100,384438,668265,135730.82,179184.20
HW_PYRO_07-11-25,LD_H_20_3,R2,BL3 - BL3-H,SSC - SSC-H,10,160,0.063,39738,783528,5327.50,97953.32
HW_PYRO_07-11-25,LD_H_20_3,R1,BL3 - BL3-H,SSC - SSC-H,16,160,0.100,24857,668265,20266.17,179184.20
HW_PYRO_07-11-25,LD_H_20_3,R2,AreaSquareMicrons,CircularityPercent ,10,160,0.063,843,27,509.55,15.02
HW_PYRO_07-11-25,LD_H_20_3,R2,EccentricityPercent ,MajorDiameterMicrons ,10,160,0.063,69,40,29.60,14.71
HW_PYRO_07-11-25,LD_H_20_3,R2,MinorDiameterMicrons ,PerimeterMicrons,10,160,0.063,24,181,13.36,78.93
HW_PYRO_07-11-25,LD_H_20_3,R2,AverageIntensity,CVIntensity,10,160,0.063,302,44,110.18,17.69
HW_PYRO_07-11-25,LD_H_20_3,R2,SkewnessIntensity,StandardDeviationIntensity,10,160,0.063,1,148,0.49,58.69
HW_PYRO_07-11-25,LD_H_25_1,All Events,FSC - FSC-H,SSC - SSC-H,277,160,1.731,121241,111335,125444.99,157935.66
HW_PYRO_07-11-25,LD_H_25_1,R1,FSC - FSC-H,SSC - SSC-H,25,160,0.156,344932,537013,94506.34,113500.18
HW_PYRO_07-11-25,LD_H_25_1,R2,BL3 - BL3-H,SSC - SSC-H,21,160,0.131,48923,548859,5756.81,120141.42
HW_PYRO_07-11-25,LD_H_25_1,R1,BL3 - BL3-H,SSC - SSC-H,25,160,0.156,41105,537013,19023.24,113500.18
HW_PYRO_07-11-25,LD_H_25_1,R2,AreaSquareMicrons,CircularityPercent ,21,160,0.131,870,25,350.03,17.76
HW_PYRO_07-11-25,LD_H_25_1,R2,EccentricityPercent ,MajorDiameterMicrons ,21,160,0.131,61,38,24.28,13.72
HW_PYRO_07-11-25,LD_H_25_1,R2,MinorDiameterMicrons ,PerimeterMicrons,21,160,0.131,27,201,9.99,76.29
HW_PYRO_07-11-25,LD_H_25_1,R2,AverageIntensity,CVIntensity,21,160,0.131,316,49,107.68,17.12
HW_PYRO_07-11-25,LD_H_25_1,R2,SkewnessIntensity,StandardDeviationIntensity,21,160,0.131,1,172,0.50,61.20
HW_PYRO_07-11-25,LD_H_25_2,All Events,FSC - FSC-H,SSC - SSC-H,421,159,2.648,106131,81676,109161.81,165135.28
HW_PYRO_07-11-25,LD_H_25_2,R1,FSC - FSC-H,SSC - SSC-H,34,159,0.214,280265,585070,91370.70,97280.70
HW_PYRO_07-11-25,LD_H_25_2,R2,BL3 - BL3-H,SSC - SSC-H,27,159,0.170,44153,586450,7628.27,96625.69
HW_PYRO_07-11-25,LD_H_25_2,R1,BL3 - BL3-H,SSC - SSC-H,34,159,0.214,35073,585070,19324.53,97280.70
HW_PYRO_07-11-25,LD_H_25_2,R2,AreaSquareMicrons,CircularityPercent ,27,159,0.170,764,24,276.35,11.02
HW_PYRO_07-11-25,LD_H_25_2,R2,EccentricityPercent ,MajorDiameterMicrons ,27,159,0.170,73,40,20.83,10.86
HW_PYRO_07-11-25,LD_H_25_2,R2,MinorDiameterMicrons ,PerimeterMicrons,27,159,0.170,24,202,8.68,65.32
HW_PYRO_07-11-25,LD_H_25_2,R2,AverageIntensity,CVIntensity,27,159,0.170,308,54,77.49,15.73
HW_PYRO_07-11-25,LD_H_25_2,R2,SkewnessIntensity,StandardDeviationIntensity,27,159,0.170,1,170,0.43,46.04
HW_PYRO_07-11-25,LD_H_25_3,All Events,FSC - FSC-H,SSC - SSC-H,1154,159,7.258,96498,140456,89345.43,176846.55
