Sample,Normal Singleton,Doublet,Dividing,"Angry/""Popcorn""",Cysting,Partial,Empty Image,Date,Triplet
D1_H_20,0,0,0,1,2,0,1,9/19/2024,0
D2_H_20,0,0,0,2,0,3,2,9/19/2024,0
D3_H_20,0,0,0,2,0,1,1,9/19/2024,0
D1_H_25,0,0,0,1,0,1,0,9/19/2024,0
D2_H_25,0,0,0,1,0,1,1,9/19/2024,0
D3_H_25,0,1,0,3,0,0,3,9/19/2024,0
D1_H_30,0,0,0,4,2,0,2,9/19/2024,0
D2_H_30,1,0,0,4,0,0,0,9/19/2024,0
D3_H_30,0,0,1,2,0,0,0,9/19/2024,0
D1_C_20,1,3,0,4,1,0,0,9/19/2024,0
D2_C_20,1,2,2,3,1,4,0,9/19/2024,0
D3_C_20,1,0,1,4,0,0,2,9/19/2024,0
D1_C_25,0,4,0,0,1,1,0,9/19/2024,0
D2_C_25,1,5,0,1,2,0,0,9/19/2024,0
D3_C_25,1,1,0,3,1,1,1,9/19/2024,0
D1_C_30,2,1,0,5,0,2,2,9/19/2024,0
D2_C_30,1,0,0,1,1,1,0,9/19/2024,0
D3_C_30,0,0,1,0,0,1,0,9/19/2024,0
LD1_H_20,0,0,0,2,0,1,0,9/21/2024,0
LD2_H_20,4,0,0,13,2,4,1,9/21/2024,0
LD3_H_20,2,0,0,1,0,3,2,9/21/2024,0
LD1_H_25,3,1,0,6,2,2,1,9/21/2024,0
LD2_H_25,1,4,0,6,1,1,1,9/21/2024,0
LD3_H_25,2,1,1,3,0,3,2,9/21/2024,0
LD1_H_30,2,0,0,3,3,2,0,9/21/2024,0
LD2_H_30,1,4,0,2,2,4,1,9/21/2024,0
LD3_H_30,3,0,0,4,2,0,4,9/21/2024,0
LD1_C_20,1,1,0,3,0,1,0,9/21/2024,0
LD2_C_20,4,0,0,3,0,0,1,9/21/2024,0
LD3_C_20,4,6,2,4,3,1,3,9/21/2024,0
LD1_C_25,1,5,1,3,0,2,0,9/21/2024,0
LD2_C_25,2,3,1,4,2,1,4,9/21/2024,0
LD3_C_25,3,1,0,2,1,1,4,9/21/2024,0
LD1_C_30,6,4,0,1,0,1,2,9/21/2024,0
LD2_C_30,0,0,0,0,0,0,0,9/21/2024,0
LD3_C_30,1,0,0,2,1,0,1,9/21/2024,0
D1_H_20,0,0,1,2,0,0,0,9/21/2024,0
D2_H_20,0,1,2,8,0,3,1,9/21/2024,0
D3_H_20,0,0,0,2,0,1,0,9/21/2024,0
D1_H_25,0,1,0,0,0,0,0,9/21/2024,0
D2_H_25,0,0,0,1,3,0,0,9/21/2024,0
D3_H_25,0,2,0,3,0,3,1,9/21/2024,0
D1_H_30,1,2,0,11,0,1,4,9/21/2024,0
D2_H_30,0,0,0,0,0,0,0,9/21/2024,0
D3_H_30,0,1,0,3,1,1,2,9/21/2024,0
D1_C_20,3,6,0,3,0,2,0,9/21/2024,0
D2_C_20,0,1,1,2,0,1,2,9/21/2024,0
D3_C_20,0,3,0,2,0,4,2,9/21/2024,0
D1_C_25,0,4,0,4,2,3,2,9/21/2024,0
D2_C_25,2,2,0,2,1,1,1,9/21/2024,0
D3_C_25,2,1,0,0,0,0,2,9/21/2024,0
