Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
PYRO_HW_6-16-25,Blank,All Events,FSC - FSC-H,SSC - SSC-H,14,159,0.088,62860,41896,31219.34,49568.08
PYRO_HW_6-16-25,Blank,R1,FSC - FSC-H,SSC - SSC-H,0,159,0.000,N/A,N/A,N/A,N/A
PYRO_HW_6-16-25,Blank,R2,BL3 - BL3-H,SSC - SSC-H,0,159,0.000,N/A,N/A,N/A,N/A
PYRO_HW_6-16-25,Blank,R1,BL3 - BL3-H,SSC - SSC-H,0,159,0.000,N/A,N/A,N/A,N/A
PYRO_HW_6-16-25,LD_H_20_1,All Events,FSC - FSC-H,SSC - SSC-H,791,160,4.944,104065,82812,116722.84,155641.69
PYRO_HW_6-16-25,LD_H_20_1,R1,FSC - FSC-H,SSC - SSC-H,54,160,0.338,318612,577032,139696.42,100628.98
PYRO_HW_6-16-25,LD_H_20_1,R2,BL3 - BL3-H,SSC - SSC-H,45,160,0.281,42932,588730,8804.56,90726.58
PYRO_HW_6-16-25,LD_H_20_1,R1,BL3 - BL3-H,SSC - SSC-H,54,160,0.338,35784,577032,18017.79,100628.98
PYRO_HW_6-16-25,LD_H_20_1,R2,AreaSquareMicrons - AreaSquareMicrons,CircularityPercent  - CircularityPercent ,45,160,0.281,694,26,473.27,18.73
PYRO_HW_6-16-25,LD_H_20_1,R2,EccentricityPercent  - EccentricityPercent ,MajorDiameterMicrons  - MajorDiameterMicrons ,45,160,0.281,62,34,31.18,16.99
PYRO_HW_6-16-25,LD_H_20_1,R2,MinorDiameterMicrons  - MinorDiameterMicrons ,PerimeterMicrons - PerimeterMicrons,45,160,0.281,21,166,13.15,101.24
PYRO_HW_6-16-25,LD_H_20_1,R2,AverageIntensity - AverageIntensity,CVIntensity - CVIntensity,45,160,0.281,298,44,156.22,23.84
PYRO_HW_6-16-25,LD_H_20_1,R2,SkewnessIntensity - SkewnessIntensity,StandardDeviationIntensity - StandardDeviationIntensity,45,160,0.281,1,148,0.69,72.20
PYRO_HW_6-16-25,LD_H_20_2,All Events,FSC - FSC-H,SSC - SSC-H,518,159,3.258,103893,91702,118404.93,161095.59
PYRO_HW_6-16-25,LD_H_20_2,R1,FSC - FSC-H,SSC - SSC-H,40,159,0.252,345978,589319,144118.70,112177.53
PYRO_HW_6-16-25,LD_H_20_2,R2,BL3 - BL3-H,SSC - SSC-H,30,159,0.189,42741,608511,7905.50,106122.16
PYRO_HW_6-16-25,LD_H_20_2,R1,BL3 - BL3-H,SSC - SSC-H,40,159,0.252,32074,589319,19914.58,112177.53
PYRO_HW_6-16-25,LD_H_20_2,R2,AreaSquareMicrons,CircularityPercent ,30,159,0.189,896,27,426.37,19.46
PYRO_HW_6-16-25,LD_H_20_2,R2,EccentricityPercent ,MajorDiameterMicrons ,30,159,0.189,57,37,27.47,15.75
PYRO_HW_6-16-25,LD_H_20_2,R2,MinorDiameterMicrons ,PerimeterMicrons,30,159,0.189,26,187,12.34,85.76
PYRO_HW_6-16-25,LD_H_20_2,R2,AverageIntensity,CVIntensity,30,159,0.189,303,42,129.23,20.02
PYRO_HW_6-16-25,LD_H_20_2,R2,SkewnessIntensity,StandardDeviationIntensity,30,159,0.189,1,145,0.55,63.22
PYRO_HW_6-16-25,LD_H_20_3,All Events,FSC - FSC-H,SSC - SSC-H,412,160,2.575,82463,89729,93539.93,162195.69
PYRO_HW_6-16-25,LD_H_20_3,R1,FSC - FSC-H,SSC - SSC-H,22,160,0.138,325982,667196,137876.94,141444.00
PYRO_HW_6-16-25,LD_H_20_3,R2,BL3 - BL3-H,SSC - SSC-H,15,160,0.094,41484,689288,7495.29,131237.24
PYRO_HW_6-16-25,LD_H_20_3,R1,BL3 - BL3-H,SSC - SSC-H,22,160,0.138,28310,667196,20665.00,141444.00
PYRO_HW_6-16-25,LD_H_20_3,R2,AreaSquareMicrons,CircularityPercent ,15,160,0.094,653,20,509.24,13.33
PYRO_HW_6-16-25,LD_H_20_3,R2,EccentricityPercent ,MajorDiameterMicrons ,15,160,0.094,62,35,36.58,21.15
PYRO_HW_6-16-25,LD_H_20_3,R2,MinorDiameterMicrons ,PerimeterMicrons,15,160,0.094,19,166,14.26,118.03
PYRO_HW_6-16-25,LD_H_20_3,R2,AverageIntensity,CVIntensity,15,160,0.094,308,41,185.39,24.57
PYRO_HW_6-16-25,LD_H_20_3,R2,SkewnessIntensity,StandardDeviationIntensity,15,160,0.094,1,149,0.60,81.06
PYRO_HW_6-16-25,LD_H_25_1,All Events,FSC - FSC-H,SSC - SSC-H,910,159,5.723,67803,79866,70694.65,103732.40
PYRO_HW_6-16-25,LD_H_25_1,R1,FSC - FSC-H,SSC - SSC-H,29,159,0.182,313802,564533,76022.62,63036.51
