Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
HW_PYRO_6-09-25,Blank,All Events,FSC - FSC-H,SSC - SSC-H,34,159,0.214,58736,25342,35995.21,11714.96
HW_PYRO_6-09-25,Blank,R1,FSC - FSC-H,SSC - SSC-H,0,159,0,N/A,N/A,N/A,N/A
HW_PYRO_6-09-25,Blank,R2,BL3 - BL3-H,SSC - SSC-H,0,159,0,N/A,N/A,N/A,N/A
HW_PYRO_6-09-25,Blank,R1,BL3 - BL3-H,SSC - SSC-H,0,159,0,N/A,N/A,N/A,N/A
HW_PYRO_6-09-25,LD_H_20_1,All Events,FSC - FSC-H,SSC - SSC-H,144,159,0.906,123559,92670,141777.78,119931.97
HW_PYRO_6-09-25,LD_H_20_1,R1,FSC - FSC-H,SSC - SSC-H,7,159,0.044,466171,507840,129939.22,110382.82
HW_PYRO_6-09-25,LD_H_20_1,R2,BL3 - BL3-H,SSC - SSC-H,3,159,0.019,48399,530718,4618.43,168776.98
HW_PYRO_6-09-25,LD_H_20_1,R1,BL3 - BL3-H,SSC - SSC-H,7,159,0.044,20774,507840,25978.03,110382.82
HW_PYRO_6-09-25,LD_H_20_1,R2,AreaSquareMicrons - AreaSquareMicrons,CircularityPercent  - CircularityPercent ,3,159,0.019,910,18,208.88,2.97
HW_PYRO_6-09-25,LD_H_20_1,R2,MinorDiameterMicrons  - MinorDiameterMicrons ,PerimeterMicrons - PerimeterMicrons,3,159,0.019,27,249,6.25,10.54
HW_PYRO_6-09-25,LD_H_20_1,R2,EccentricityPercent  - EccentricityPercent ,MajorDiameterMicrons  - MajorDiameterMicrons ,3,159,0.019,76,43,13.8,2.05
HW_PYRO_6-09-25,LD_H_20_1,R2,AverageIntensity - AverageIntensity,CVIntensity - CVIntensity,3,159,0.019,362,41,81.91,3.97
HW_PYRO_6-09-25,LD_H_20_1,R2,SkewnessIntensity - SkewnessIntensity,StandardDeviationIntensity - StandardDeviationIntensity,3,159,0.019,1,148,0.63,44.47
HW_PYRO_6-09-25,LD_H_20_2,All Events,FSC - FSC-H,SSC - SSC-H,610,159,3.836,131603,81574,135232.34,132709.16
HW_PYRO_6-09-25,LD_H_20_2,R1,FSC - FSC-H,SSC - SSC-H,22,159,0.138,347149,543496,106594,141550.83
HW_PYRO_6-09-25,LD_H_20_2,R2,BL3 - BL3-H,SSC - SSC-H,11,159,0.069,45078,628647,6109.29,154707.64
HW_PYRO_6-09-25,LD_H_20_2,R1,BL3 - BL3-H,SSC - SSC-H,22,159,0.138,22562,543496,23428.62,141550.83
HW_PYRO_6-09-25,LD_H_20_2,R2,AreaSquareMicrons,CircularityPercent ,11,159,0.069,895,25,374.2,4.77
HW_PYRO_6-09-25,LD_H_20_2,R2,MinorDiameterMicrons ,PerimeterMicrons,11,159,0.069,26,212,9.29,57.47
HW_PYRO_6-09-25,LD_H_20_2,R2,EccentricityPercent ,MajorDiameterMicrons ,11,159,0.069,75,42,14.59,6.47
HW_PYRO_6-09-25,LD_H_20_2,R2,AverageIntensity,CVIntensity,11,159,0.069,353,44,50.5,8.98
HW_PYRO_6-09-25,LD_H_20_2,R2,SkewnessIntensity,StandardDeviationIntensity,11,159,0.069,1,158,0.67,46.12
HW_PYRO_6-09-25,LD_H_20_3,All Events,FSC - FSC-H,SSC - SSC-H,288,159,1.811,144006,76211,131626.33,105597.6
HW_PYRO_6-09-25,LD_H_20_3,R1,FSC - FSC-H,SSC - SSC-H,8,159,0.05,336534,512205,88996.33,94293.7
HW_PYRO_6-09-25,LD_H_20_3,R2,BL3 - BL3-H,SSC - SSC-H,4,159,0.025,37899,558372,5205,99528.36
HW_PYRO_6-09-25,LD_H_20_3,R1,BL3 - BL3-H,SSC - SSC-H,8,159,0.05,18969,512205,20521.49,94293.7
HW_PYRO_6-09-25,LD_H_20_3,R2,AreaSquareMicrons,CircularityPercent ,4,159,0.025,754,43,492.2,17.18
HW_PYRO_6-09-25,LD_H_20_3,R2,MinorDiameterMicrons ,PerimeterMicrons,4,159,0.025,23,152,11.64,85.46
HW_PYRO_6-09-25,LD_H_20_3,R2,EccentricityPercent ,MajorDiameterMicrons ,4,159,0.025,73,36,13.77,17.23
HW_PYRO_6-09-25,LD_H_20_3,R2,AverageIntensity,CVIntensity,4,159,0.025,369,38,66.43,9.56
HW_PYRO_6-09-25,LD_H_20_3,R2,SkewnessIntensity,StandardDeviationIntensity,4,159,0.025,1,137,0.94,16.87
HW_PYRO_6-09-25,LD_H_25_1,All Events,FSC - FSC-H,SSC - SSC-H,375,160,2.344,99969,60916,89370.81,94215.25
HW_PYRO_6-09-25,LD_H_25_1,R1,FSC - FSC-H,SSC - SSC-H,6,160,0.037,300096,578979,123033.48,149055.36
HW_PYRO_6-09-25,LD_H_25_1,R2,BL3 - BL3-H,SSC - SSC-H,4,160,0.025,45085,632825,7426.19,151598.06
HW_PYRO_6-09-25,LD_H_25_1,R1,BL3 - BL3-H,SSC - SSC-H,6,160,0.037,30075,578979,23954.69,149055.36
HW_PYRO_6-09-25,LD_H_25_1,R2,AreaSquareMicrons,CircularityPercent ,4,160,0.025,898,30,564.09,19.68
HW_PYRO_6-09-25,LD_H_25_1,R2,MinorDiameterMicrons ,PerimeterMicrons,4,160,0.025,28,214,14.79,121.02
HW_PYRO_6-09-25,LD_H_25_1,R2,EccentricityPercent ,MajorDiameterMicrons ,4,160,0.025,63,35,18.99,15.57
HW_PYRO_6-09-25,LD_H_25_1,R2,AverageIntensity,CVIntensity,4,160,0.025,399,38,59.3,15.35
HW_PYRO_6-09-25,LD_H_25_1,R2,SkewnessIntensity,StandardDeviationIntensity,4,160,0.025,1,144,0.48,47.92
HW_PYRO_6-09-25,LD_H_25_2,All Events,FSC - FSC-H,SSC - SSC-H,386,160,2.413,114414,73878,112644.82,91074.09
HW_PYRO_6-09-25,LD_H_25_2,R1,FSC - FSC-H,SSC - SSC-H,5,160,0.031,339811,536995,85681.31,109124.76
HW_PYRO_6-09-25,LD_H_25_2,R2,BL3 - BL3-H,SSC - SSC-H,1,160,0.006,48911,454818,N/A,N/A
